flight_id,Average_Boarding_Number
9819,187.5
249,183
305,183
250,181
301,179
268,178
276,178
282,178
5307,175
259,173.5
5355,173.5
5360,173.5
7738,173.5
9878,173.5
10922,173.5
7737,173
9821,173
292,172.5
298,172.5
5328,172.5
5353,172.5
5356,172.5
9835,172.5
5312,172
9831,172
10914,172
30582,172
5344,171.5
10916,171.5
286,171
30620,171
5333,170.5
9849,170.5
10905,170.5
5336,170
9872,170
281,169.5
5303,169.5
5341,169.5
7770,169
9847,168.5
273,168
30626,168
5317,167.5
7755,167.5
7776,167.5
9864,167.5
297,167
10884,167
5348,166.5
5351,166.5
9869,166
10915,166
5332,165.5
10882,165.5
10906,165.5
275,165
289,165
7736,165
9818,164.5
9853,164.5
10873,164.5
10932,164.5
30611,164
271,163.5
9837,163.5
9877,163.5
7721,163
9820,163
10924,162.5
10929,162.5
265,162
7734,162
7735,162
7739,162
7749,162
5308,161.5
7741,161.5
7766,161.5
10896,161.5
272,161
7748,161
7773,161
9860,161
5262,160.5
7772,160.5
30632,160.5
30592,160
30618,160
10874,160
5314,159.5
7753,159.5
7769,159.5
9838,159.5
10903,159.5
30596,159
30604,159
5321,158
30581,157.5
30628,157.5
7762,157
10875,157
10912,156.5
30631,156.5
10931,156
9844,155.5
30586,155.5
247,154.5
5310,154.5
5331,154.5
9836,153.5
9862,153.5
302,153
7720,153
30624,153
30633,152.5
9825,152.5
7771,152
10933,151.5
5319,150.5
10886,150.5
9907,148.5
9926,148.5
10885,148.5
5284,147.5
14559,147.5
295,146.5
14590,146
3486,145.5
7744,145.5
30590,145.5
3496,145
3502,144.5
30576,144
3474,143.5
3476,143.5
5268,143.5
5272,143
14566,143
14570,143
5250,142.5
5293,142
30614,142
5299,141.5
3487,141
9901,141
14589,141
5270,140.5
5301,140.5
7775,140.5
5279,140
5283,140
9889,140
5275,139.5
9908,139.5
14552,139.5
14556,139.5
30615,139.5
3506,139
3517,139
3522,139
5273,139
5288,139
9888,139
5244,138.5
9909,138.5
9932,138.5
3510,138
14591,137.5
258,137
3477,137
3504,137
5267,137
3479,136.5
9882,136.5
14541,136.5
5316,136
14547,136
3508,135
9927,134.5
14587,134.5
30619,134.5
3500,134
9925,134
14535,134
3492,133.5
5242,133.5
7732,133.5
279,133
3463,133
3468,133
9890,133
3499,132.5
9917,132.5
9939,132.5
14550,132.5
3497,132
5290,132
9903,132
14583,132
9933,131.5
3466,131
5252,130.5
5300,130.5
7726,129
14537,129
3480,128.5
3485,128.5
5359,128.5
30598,128
3495,127.5
14581,127.5
3475,127
3490,127
3518,126.5
9915,126.5
3511,126
14571,126
14584,125.5
3491,125
5249,125
9938,125
266,124.5
9931,124.5
7717,124
7719,123.5
7727,123.5
3512,123
7763,123
3473,122.5
5337,122.5
9875,122.5
14561,122.5
30629,122
7768,121
9922,120.5
7723,120
9870,116.5
10881,116.5
5271,116
14546,116
255,115
5309,115
278,114.5
9934,114.5
9893,113.5
5345,112.5
288,112
245,111.5
251,111.5
5352,110.5
2354,109.5
5265,109.5
2329,108.5
2330,108.5
5297,108.5
277,107
26162,107
2322,106
2325,106
2332,106
26168,106
2338,105
2351,105
2348,104.5
2355,104.5
26157,104.5
26173,104.5
26201,104.5
26172,104
26216,104
5247,103.5
14548,103.5
2349,103
26204,102.5
2169,102
2336,102
2373,102
26158,102
26184,102
26198,102
2326,101.5
2356,101.5
2358,101.5
2343,101
26181,100.5
26189,100.5
30606,100.5
26194,99.5
26200,99.5
26202,99.5
2134,99
26208,99
2346,98.5
5305,98.5
26178,98.5
5260,98
5274,98
24122,98
2319,97.5
30556,97.5
2168,97
10930,97
24095,97
26209,96.5
5304,95.5
14585,95.5
5278,95
9914,95
2127,94.5
24103,94.5
24119,93.5
2154,93
2120,92.5
2166,92.5
5302,92.5
13488,92.5
2376,92
13497,92
30537,92
5286,91.5
5526,91.5
5544,91.5
24130,91
5486,90.5
13458,90.5
24110,90.5
24113,90.5
2124,90
2148,90
5488,90
30516,90
5521,89.5
24121,89.5
24126,89.5
2365,88.5
13483,88.5
13500,88.5
2156,88
2350,88
5494,88
26179,88
2125,87.5
2139,87.5
2146,87.5
2147,87.5
2160,87.5
9846,87.5
2115,87
2131,87
4693,87
4751,87
5514,87
5516,87
13476,87
24098,87
24140,87
2138,86.5
4723,86.5
12680,86.5
13494,86.5
4715,86
5499,86
24086,86
30555,86
474,85.5
3297,85.5
3319,85.5
3358,85.5
4951,85.5
4957,85.5
4962,85.5
4982,85.5
4989,85.5
5027,85.5
5035,85.5
5048,85.5
5053,85.5
5074,85.5
5088,85.5
5119,85.5
5126,85.5
5135,85.5
5152,85.5
5160,85.5
5170,85.5
5177,85.5
5190,85.5
5197,85.5
5225,85.5
5492,85.5
2114,85
3252,85
4737,85
4746,85
4977,85
5004,85
5016,85
5064,85
5130,85
5141,85
5146,85
5204,85
5208,85
10911,85
13501,85
3232,84.5
3251,84.5
3334,84.5
3382,84.5
5021,84.5
5546,84.5
13444,84.5
24131,84.5
30526,84.5
30525,84
4706,84
4712,84
5501,84
13491,84
24096,84
24109,84
24123,84
365,83.5
4705,83.5
4709,83.5
4713,83.5
5509,83.5
5523,83.5
12657,83.5
13464,83.5
17027,83.5
30563,83.5
2126,83
3237,83
3278,83
5504,83
5528,83
2130,82.5
3257,82.5
3269,82.5
3293,82.5
3349,82.5
3367,82.5
4718,82.5
4720,82.5
5254,82.5
13468,82.5
3225,82
3391,82
5520,82
8532,82
3226,81.5
4730,81.5
4741,81.5
17030,81.5
24088,81.5
26163,81.5
30547,81.5
30567,81.5
351,81
2362,81
4696,81
4703,81
4729,81
4749,81
5524,81
24100,81
25214,81
313,80.5
4710,80.5
4717,80.5
4721,80.5
8357,80.5
12676,80.5
13487,80.5
25256,80.5
30544,80.5
3325,80
4701,80
9285,80
13502,80
25261,80
3394,79.5
4714,79.5
4727,79.5
4736,79.5
8462,79.5
8522,79.5
9326,79.5
25241,79.5
8582,79
13466,79
13492,79
24093,79
25212,79
479,78.5
1063,78.5
8447,78.5
8552,78.5
8627,78.5
8640,78.5
9295,78.5
9298,78.5
13454,78.5
25245,78.5
30602,78.5
355,78
4742,78
10892,78
12699,78
4732,77.5
8402,77.5
24099,77.5
24137,77.5
30561,77.5
332,77
5503,77
8432,77
8497,77
8567,77
8607,77
8637,77
10901,77
25244,77
356,76.5
470,76.5
2161,76.5
2331,76.5
5354,76.5
5515,76.5
8487,76.5
312,76
346,76
1062,76
8555,76
9310,76
9324,76
12643,76
12644,76
26249,76
30560,76
30527,75.5
462,75.5
4724,75.5
8417,75.5
9303,75.5
9906,75.5
11577,75.5
308,75
8382,75
8595,75
9318,75
9325,75
11565,75
11572,75
25234,75
30543,75
30568,75
458,74.5
473,74.5
1072,74.5
1079,74.5
4725,74.5
9289,74.5
9309,74.5
9329,74.5
11563,74.5
11593,74.5
321,74
441,74
476,74
3398,74
5497,74
8335,74
9274,74
9845,74
11562,74
11580,74
13443,74
24132,74
26188,74
306,73.5
317,73.5
342,73.5
1045,73.5
2116,73.5
3377,73.5
8263,73.5
9278,73.5
10926,73.5
11576,73.5
11596,73.5
11612,73.5
12668,73.5
13448,73.5
2335,73
8367,73
9313,73
9340,73
10920,73
11607,73
25246,73
25250,73
339,72.5
357,72.5
453,72.5
480,72.5
1078,72.5
1097,72.5
7996,72.5
8188,72.5
8218,72.5
9269,72.5
9280,72.5
9281,72.5
9297,72.5
11575,72.5
11601,72.5
26250,72.5
30550,72.5
335,72
442,72
8202,72
8220,72
8326,72
9299,72
11616,72
17056,72
1089,71.5
8173,71.5
9306,71.5
11610,71.5
12673,71.5
25259,71.5
26243,71.5
26252,71.5
430,71
2324,71
2361,71
8192,71
8198,71
8201,71
8231,71
10928,71
11618,71
12663,71
26265,71
30565,71
429,70.5
1051,70.5
2112,70.5
2118,70.5
7947,70.5
8172,70.5
8221,70.5
9873,70.5
26228,70.5
1061,70
5527,70
8018,70
8171,70
8239,70
9316,70
11578,70
13472,70
25222,70
25267,70
30549,70
434,69.5
435,69.5
8370,69.5
9338,69.5
11600,69.5
17044,69.5
17075,69.5
328,69
1086,69
9308,69
12678,69
12696,69
17060,69
26261,69
469,68.5
1060,68.5
1071,68.5
9311,68.5
9328,68.5
9373,68.5
9380,68.5
17037,68.5
17050,68.5
17055,68.5
25217,68.5
30572,68.5
2370,68
8069,68
8179,68
9388,68
9389,68
12659,68
17079,68
1094,67.5
8159,67.5
9272,67.5
9276,67.5
9319,67.5
10910,67.5
12697,67.5
13485,67.5
17048,67.5
25238,67.5
307,67
362,67
364,67
482,67
1049,67
3341,67
5229,67
7941,67
8282,67
9360,67
12646,67
17070,67
25226,67
26226,67
324,66.5
436,66.5
1040,66.5
1067,66.5
2342,66.5
5542,66.5
8203,66.5
9290,66.5
9333,66.5
9834,66.5
17039,66.5
17069,66.5
25248,66.5
433,66
3359,66
5046,66
7930,66
8115,66
8236,66
9284,66
17023,66
4953,65.5
5149,65.5
5434,65.5
7079,65.5
7089,65.5
8166,65.5
9344,65.5
11102,65.5
11119,65.5
11130,65.5
12806,65.5
13471,65.5
17066,65.5
17110,65.5
17113,65.5
17115,65.5
17129,65.5
25920,65.5
26240,65.5
26251,65.5
26934,65.5
30639,65.5
30674,65.5
30517,65
7942,65
9334,65
11105,65
11110,65
11122,65
11585,65
12965,65
12966,65
12975,65
12977,65
13001,65
13002,65
17108,65
17109,65
21013,65
26267,65
2323,64.5
5459,64.5
5470,64.5
5472,64.5
5477,64.5
7062,64.5
8082,64.5
8226,64.5
11073,64.5
11084,64.5
11093,64.5
11127,64.5
12794,64.5
12802,64.5
12967,64.5
12990,64.5
17043,64.5
17102,64.5
17137,64.5
24236,64.5
