flight_id,total_seats,occupied_seats,occupancy_rate
1,79,79,100.0000
2,101,101,100.0000
3,97,97,100.0000
17,101,101,100.0000
18,96,96,100.0000
21,85,85,100.0000
22,1,1,100.0000
25,115,115,100.0000
26,90,90,100.0000
27,92,92,100.0000
36,98,98,100.0000
37,100,100,100.0000
38,83,83,100.0000
46,97,97,100.0000
47,105,105,100.0000
52,98,98,100.0000
53,90,90,100.0000
54,83,83,100.0000
55,3,3,100.0000
62,2,2,100.0000
67,89,89,100.0000
74,126,126,100.0000
75,97,97,100.0000
85,103,103,100.0000
86,91,91,100.0000
87,85,85,100.0000
88,2,2,100.0000
91,104,104,100.0000
92,107,107,100.0000
108,99,99,100.0000
109,89,89,100.0000
113,103,103,100.0000
114,104,104,100.0000
125,114,114,100.0000
126,95,95,100.0000
129,88,88,100.0000
130,54,54,100.0000
141,113,113,100.0000
142,97,97,100.0000
152,84,84,100.0000
153,35,35,100.0000
159,100,100,100.0000
160,97,97,100.0000
175,109,109,100.0000
176,86,86,100.0000
181,83,83,100.0000
182,89,89,100.0000
183,92,92,100.0000
184,16,16,100.0000
193,103,103,100.0000
194,97,97,100.0000
207,106,106,100.0000
208,102,102,100.0000
209,89,89,100.0000
210,82,82,100.0000
211,5,5,100.0000
214,63,63,100.0000
223,100,100,100.0000
224,95,95,100.0000
229,90,90,100.0000
239,85,85,100.0000
240,4,4,100.0000
245,222,222,100.0000
247,308,308,100.0000
249,365,365,100.0000
250,361,361,100.0000
251,222,222,100.0000
255,229,229,100.0000
258,273,273,100.0000
259,346,346,100.0000
265,323,323,100.0000
266,248,248,100.0000
268,355,355,100.0000
271,326,326,100.0000
272,321,321,100.0000
273,335,335,100.0000
275,329,329,100.0000
276,355,355,100.0000
277,213,213,100.0000
278,228,228,100.0000
279,265,265,100.0000
281,338,338,100.0000
282,355,355,100.0000
286,341,341,100.0000
288,223,223,100.0000
289,329,329,100.0000
292,344,344,100.0000
295,292,292,100.0000
297,333,333,100.0000
298,344,344,100.0000
301,357,357,100.0000
