flight_id,total_revenue
2354,17146600
26212,17023600
2364,16962100
2330,16900600
2329,16894400
2341,16839100
2344,16777600
2369,16777600
2325,16593100
2332,16593100
26162,16593100
2359,16586900
26173,16531600
26201,16531600
26168,16470100
2322,16470100
2366,16470100
2338,16463900
2351,16463900
26180,16408600
26216,16340900
2340,16340900
2375,16285600
26157,16285600
2347,16279400
26176,16224100
26167,16205500
26193,16162600
2358,16162600
2348,16156400
2321,16101100
26172,16094900
2355,16039600
26158,15978100
26198,15971900
2343,15971900
2373,15971900
26160,15965700
26199,15916600
26204,15916600
2357,15916600
2337,15904200
2336,15855100
2349,15848900
26184,15848900
26189,15787400
26200,15787400
2356,15787400
26181,15781200
26208,15732100
26177,15609100
26210,15602900
2326,15547600
2363,15486100
2319,15418400
26202,15418400
26194,15399800
26165,15289200
26187,15233900
26178,15166200
2346,15049400
26209,14926400
26170,14618900
2339,14557400
2376,14366700
26190,14311400
26248,14069300
2365,13936200
2350,13739300
26179,13388900
9819,12927600
2334,12890700
2362,12884500
260,12793700
26219,12771500
9363,12703500
26164,12693800
26191,12657100
305,12598500
249,12562200
26163,12454000
250,12431000
267,12400400
276,12369700
290,12233000
282,12207900
26272,12206500
301,12205000
26271,12193700
268,12135300
283,12087900
259,12046000
292,12043300
2345,12035900
298,11931700
9849,11931600
9821,11926200
26275,11908800
26249,11908700
9878,11898200
9851,11878600
270,11876000
9831,11864800
286,11775400
9839,11756000
26265,11753100
9833,11736500
2331,11709800
9872,11658300
2324,11654500
9835,11619300
269,11613800
284,11602500
9351,11591900
26266,11579900
26243,11579400
9864,11577300
9869,11569100
9847,11541100
273,11530000
26188,11525300
9840,11518800
26159,11482400
304,11463000
26252,11461500
9375,11455400
275,11435100
9871,11418400
297,11415600
281,11373700
9818,11356900
9837,11334700
274,11331900
9842,11317900
2371,11285500
271,11281800
265,11281700
9340,11281700
9820,11273400
261,11273300
9853,11239900
9877,11234200
256,11231600
9863,11220200
26250,11207200
294,11178400
9860,11172900
2335,11162500
26261,11151000
289,11136600
272,11092100
5262,11074000
9855,11069800
26182,11045700
26236,11027200
9832,11025200
9388,11008200
9838,10960900
2361,10922700
26255,10915200
26226,10890200
26260,10871700
9342,10841100
26257,10834600
9380,10828300
9854,10801900
26171,10799700
9836,10782200
300,10721000
26228,10704400
9333,10704000
9373,10698000
9824,10690300
247,10665100
2370,10664300
9822,10662400
302,10662100
9343,10648600
9844,10637200
9389,10635900
26213,10596600
9338,10586400
9825,10584200
9924,10581200
9331,10580100
26263,10573600
9926,10570000
293,10534000
26224,10524300
26262,10524200
9862,10428200
9899,10410400
9905,10404800
9360,10400000
9334,10381200
26237,10338200
26240,10337800
26251,10331600
9367,10325500
9874,10324800
26205,10307700
5272,10306800
26274,10281700
9895,10273200
5280,10262000
5291,10192000
9859,10185300
5268,10158400
5259,10155600
9907,10155600
5284,10152800
295,10123800
2342,10117000
2323,10110800
9892,10096800
5293,10060400
5270,9998800
5282,9993200
26211,9981600
